Fonts on P1:
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4533867633', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4734724052', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2514629607', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2917584337', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2759204048', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2515018183', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-1095114838', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4482664138', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4899791308', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-6475524782', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7264808453', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-3800713913', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-8937889778', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-8222999160', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-1930335077', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-5570030280', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2603819679', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2867949010', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4884597603', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-8002102467', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7231931070', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-1518621681', 'Identity-H')
Fonts on P3:
  (1583, 'ttf', 'Type0', 'PJHRPK+MS-Gothic', 'C2_0', 'Identity-H')
  (1588, 'ttf', 'Type0', 'KMSIXU+MS-Mincho', 'C2_1', 'Identity-H')
  (1590, 'ttf', 'Type0', 'SOPZFE+MS-Mincho', 'C2_2', 'Identity-V')
  (1592, 'ttf', 'TrueType', 'DRIXDI+MS-Gothic', 'TT0', 'WinAnsiEncoding')
  (1594, 'ttf', 'TrueType', 'GOSKTC+MS-Mincho', 'TT1', 'WinAnsiEncoding')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-3965944031', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7136537325', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-499283259', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-5463912608', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7840610153', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4516204513', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-6917312177', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4402188329', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-6660567572', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-5135190550', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2357037083', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-4988141565', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2052374886', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-58077548', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-7966274394', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-8801722535', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-1538118521', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-5145712527', 'Identity-H')
  (1596, 'ttf', 'Type0', 'NotoSansJP-Regular-1973', 'NotoSansJP-Regular-2409652745', 'Identity-H')
